estacion,start_date,harvest_date,harvest_steps,dry_yield,fresh_yield,yield_potencial,seasonal_irrigation,type_soil,MinTemp_min,MaxTemp_min,Precipitation_min,ReferenceET_min,MinHmd_min,MaxHmd_min,Radsolar_min,MinTemp_max,MaxTemp_max,Precipitation_max,ReferenceET_max,MinHmd_max,MaxHmd_max,Radsolar_max,MinTemp_mean,MaxTemp_mean,Precipitation_mean,ReferenceET_mean,MinHmd_mean,MaxHmd_mean,Radsolar_mean,MinTemp_last_quarter_min,MaxTemp_last_quarter_min,Precipitation_last_quarter_min,ReferenceET_last_quarter_min,MinHmd_last_quarter_min,MaxHmd_last_quarter_min,Radsolar_last_quarter_min,MinTemp_last_quarter_max,MaxTemp_last_quarter_max,Precipitation_last_quarter_max,ReferenceET_last_quarter_max,MinHmd_last_quarter_max,MaxHmd_last_quarter_max,Radsolar_last_quarter_max,MinTemp_last_quarter_mean,MaxTemp_last_quarter_mean,Precipitation_last_quarter_mean,ReferenceET_last_quarter_mean,MinHmd_last_quarter_mean,MaxHmd_last_quarter_mean,Radsolar_last_quarter_mean
BDP,2021/01/01,2021-12-29,361,1.8145495724472271,6.048498574824091,37.16351967916017,660,Clay,13.7,22.0,0.0,1.5,24.0,95.0,173.0,21.0,35.5,70.3,7.8,86.0,100.0,632.5,18.684848484848484,30.50495867768595,4.718732782369146,4.6595041322314055,51.6831955922865,99.91735537190083,458.1818181818182,16.6,27.0,0.0,2.8,24.0,99.0,298.4,20.2,35.5,36.8,7.8,64.0,100.0,632.5,18.59891304347826,30.755434782608695,5.160869565217391,4.925,50.80434782608695,99.97826086956522,473.40434782608685
COR,2021/03/10,2021-10-22,225,1.1234207412603938,3.744735804201313,22.93363644980569,360,Clay,15.2,23.8,0.0,1.5,27.0,87.0,166.9,21.2,34.4,87.3,7.4,75.0,100.0,644.8,18.613215859030838,30.280176211453746,5.971806167400881,3.9246696035242294,49.29515418502203,98.59030837004406,385.24801762114544,15.5,24.4,0.0,1.6,27.0,87.0,176.1,20.3,34.4,77.2,6.5,72.0,100.0,564.6,18.597849462365588,30.16129032258064,5.2290322580645165,4.011827956989247,47.365591397849464,97.48387096774194,384.5494623655914
CAR,2021/01/01,2021-10-02,273,1.2471462806567097,4.1571542688557,28.672054089963517,660,Clay,17.3,24.1,0.0,1.7,32.0,96.0,124.6,20.9,35.2,50.9,7.4,82.0,100.0,644.1,19.36327272727273,30.856727272727273,4.688363636363637,4.910909090909091,49.96363636363636,99.77454545454546,477.53890909090916,17.3,27.6,0.0,2.7,32.0,98.0,319.2,20.8,33.8,50.9,7.4,62.0,100.0,641.1,19.116129032258065,31.13548387096774,5.0623655913978505,5.173118279569893,48.18279569892473,99.9247311827957,499.7236559139785
PAR,2021/01/01,2021-12-10,342,31.01261069571078,103.37536898570261,36.30473227319601,870,SiltClayLoam,14.2,22.8,0.0,1.8,33.0,98.0,142.1,20.0,33.9,70.9,7.5,79.0,100.0,640.2,17.89563953488372,30.285174418604647,5.534302325581395,4.5779069767441865,50.174418604651166,99.98255813953489,432.5354651162791,14.7,25.7,0.0,2.2,35.0,100.0,236.1,19.3,33.8,55.4,7.4,63.0,100.0,637.2,17.480434782608693,30.636956521739133,5.497826086956522,4.845652173913043,49.02173913043478,100.0,451.2239130434783
PRA,2021/02/25,2021-11-01,248,23.15900576228974,77.19668587429913,25.680380741161827,1725,SandyLoam,15.0,21.7,0.0,1.6,28.0,86.0,121.8,21.0,33.5,51.0,8.9,86.0,100.0,691.5,18.292,29.2108,4.0632,4.748399999999999,50.304,96.372,399.0716,15.0,24.5,0.0,2.3,28.0,86.0,205.4,20.1,33.5,39.8,8.2,70.0,100.0,605.1,18.089247311827958,29.536559139784938,3.3698924731182793,4.926881720430107,47.96774193548387,95.97849462365592,404.73763440860216
BUG,2021/01/01,2021-12-10,342,31.020951715271543,103.40317238423849,36.3132422248068,1215,SiltClayLoam,15.1,23.9,0.0,2.0,29.0,95.0,120.7,21.1,34.2,54.0,7.9,76.0,100.0,639.7,18.76889534883721,30.363953488372093,3.8075581395348843,4.9793604651162795,50.026162790697676,99.94767441860465,440.74651162790695,15.4,25.3,0.0,3.0,31.0,100.0,299.3,19.8,33.9,54.0,7.8,70.0,100.0,624.6,18.477173913043483,30.52282608695652,4.677173913043478,5.140217391304348,49.80434782608695,100.0,460.7782608695652
PTA,2021/01/01,2021-08-13,223,20.82325193743817,69.41083979146056,22.694281001527653,1500,SandyLoam,15.5,22.5,0.0,1.5,30.0,86.0,113.4,22.0,33.1,59.3,7.0,93.0,100.0,606.6,19.55822222222222,30.09822222222222,4.097333333333332,4.455111111111111,52.98222222222222,99.08444444444444,425.9168888888889,15.5,23.9,0.0,1.6,30.0,86.0,194.4,22.0,32.6,59.3,7.0,76.0,100.0,606.6,19.440860215053764,30.307526881720428,2.7580645161290316,4.529032258064516,52.10752688172043,98.9247311827957,433.0827956989249
MEL,2021/01/18,2021-11-01,286,26.52782544278495,88.42608480928317,30.222546255758147,1725,SandyLoam,13.4,22.7,0.0,1.4,25.0,100.0,128.4,21.0,35.3,73.8,7.0,89.0,100.0,569.0,18.70902777777778,30.762500000000003,4.838888888888889,4.313194444444444,53.65156794425087,100.0,413.79479166666664,13.4,26.4,0.0,2.5,25.0,100.0,247.1,20.1,35.3,73.8,7.0,77.0,100.0,569.0,18.541935483870972,31.03333333333334,4.841935483870968,4.5182795698924725,51.40860215053763,100.0,421.1956989247312
VIR,2021/01/01,2021-12-23,355,1.425905221817924,4.7530174060597465,37.00545276562894,510,Clay,16.0,24.7,0.0,1.2,33.0,98.0,156.8,21.0,34.6,64.6,6.7,76.0,100.0,614.2,18.96078431372549,30.549859943977587,7.015406162464986,4.404761904761905,49.280112044817926,99.90196078431373,462.85042016806716,16.7,25.4,0.0,1.8,35.0,99.0,244.5,20.3,33.4,64.6,6.4,66.0,100.0,602.6,18.903260869565216,30.52934782608696,7.11413043478261,4.623913043478261,49.40217391304348,99.96739130434783,481.0945652173913
GUA,2021/01/26,2021-11-01,278,25.836778179386073,86.12259393128691,29.265881365811108,945,ClayLoam,15.4,23.5,0.0,1.5,26.0,89.0,131.4,21.5,33.7,40.3,8.4,80.0,100.0,641.4,18.721071428571427,29.931071428571432,3.9307142857142856,4.832142857142857,50.75714285714286,98.55714285714286,441.6210714285714,15.4,24.5,0.0,2.6,26.0,93.0,232.1,20.8,33.7,40.3,8.4,72.0,100.0,641.4,18.608602150537635,30.0258064516129,3.6559139784946244,5.1000000000000005,49.1505376344086,98.3763440860215,451.9258064516129
